▓╬нp┤┴,APRILIA,BMW,DUCATI,HARLEY0DAVIDSON,HONDA,HUSQVARNA,INDIAN,KAWASAKI,KTM,MVAGUSTA,SUZUKI,TRIUMPH,YAMAHA
107ж~ 1ды,12,150,25,58,192,0,17,98,59,12,91,52,384
107ж~ 2ды,16,31,14,28,109,0,1,122,32,5,44,17,229
107ж~ 3ды,14,48,31,73,253,0,3,204,24,6,72,35,489
107ж~ 4ды,7,95,31,28,139,0,8,128,20,9,114,22,389
107ж~ 5ды,12,189,36,67,156,0,9,116,27,7,124,13,462
107ж~ 6ды,6,123,20,54,204,4,13,301,60,10,98,18,434
107ж~ 7ды,17,67,24,54,349,1,6,105,31,3,67,27,393
107ж~ 8ды,10,104,16,66,323,1,15,317,29,6,96,21,333
107ж~ 9ды,7,73,25,43,246,0,9,148,36,9,75,33,316
107ж~ 10ды,14,79,35,44,278,4,4,96,35,3,56,31,281
107ж~ 11ды,5,87,16,41,193,1,8,101,26,0,45,39,269
107ж~ 12ды,1,93,19,41,199,1,15,252,40,0,93,44,352
108ж~ 1ды,7,88,27,29,232,2,5,35,36,4,96,43,365
108ж~ 2ды,2,39,15,21,202,4,2,127,19,7,39,22,207
108ж~ 3ды,3,60,20,37,241,4,5,211,32,4,51,31,390
108ж~ 4ды,9,54,26,40,568,10,11,153,25,7,48,41,334
108ж~ 5ды,4,65,18,29,353,19,9,429,18,6,55,29,314
108ж~ 6ды,0,57,20,25,385,14,4,199,31,3,43,20,302
108ж~ 7ды,2,61,27,37,237,17,10,290,19,8,56,37,497
108ж~ 8ды,0,35,19,44,311,7,10,152,16,3,32,34,302
108ж~ 9ды,0,71,22,49,222,6,7,192,22,6,64,48,334
108ж~ 10ды,4,80,18,65,314,2,6,172,37,5,40,30,311
108ж~ 11ды,5,118,20,44,239,7,7,175,29,4,93,27,246
108ж~ 12ды,6,73,20,22,163,9,25,196,41,6,61,27,269
109ж~ 1ды,4,50,24,47,173,10,1,93,26,3,28,17,317
109ж~ 2ды,7,61,22,43,578,6,3,172,33,3,30,26,386
109ж~ 3ды,3,88,19,40,247,8,11,219,40,4,64,53,498
109ж~ 4ды,4,87,20,48,468,10,18,167,40,7,58,59,441
109ж~ 5ды,0,69,40,51,358,9,8,258,65,4,46,44,456
109ж~ 6ды,3,68,22,37,721,6,21,327,47,7,52,36,554
109ж~ 7ды,3,65,24,55,540,6,19,472,45,10,52,19,481
109ж~ 8ды,6,41,16,32,332,6,10,328,22,4,52,39,380
109ж~ 9ды,5,113,24,27,539,3,15,280,88,6,64,42,529
109ж~ 10ды,1,71,14,24,332,11,25,150,75,10,49,40,420
109ж~ 11ды,3,115,34,36,349,9,12,78,53,18,50,53,450
109ж~ 12ды,2,128,37,28,252,6,15,407,55,21,34,29,574
110ж~ 1ды,1,36,36,10,277,7,13,81,33,11,17,29,216
110ж~ 2ды,3,53,18,12,232,12,8,51,22,4,21,21,224
110ж~ 3ды,1,36,14,44,642,38,15,151,38,7,79,26,368
110ж~ 4ды,5,36,41,18,701,28,18,514,63,5,60,35,464
110ж~ 5ды,0,37,24,16,708,76,22,374,65,1,68,13,416
110ж~ 6ды,0,49,26,13,"1,433",47,13,186,45,2,29,50,227
110ж~ 7ды,1,39,9,14,610,17,12,270,43,5,38,74,464
110ж~ 8ды,0,66,22,12,951,17,9,180,48,1,36,114,340
110ж~ 9ды,1,111,38,29,"1,121",38,20,331,35,2,77,74,581
110ж~ 10ды,12,122,23,32,915,37,16,242,37,1,45,173,381
110ж~ 11ды,15,140,28,57,801,49,14,261,54,2,49,173,356
110ж~ 12ды,18,57,27,43,583,23,15,298,29,1,44,129,334
111ж~ 1ды,99,47,19,25,465,13,16,193,24,2,54,76,270
111ж~ 2ды,18,22,5,16,414,7,7,114,11,1,27,26,69
111ж~ 3ды,51,30,26,32,"1,242",15,16,210,24,0,46,50,242
111ж~ 4ды,65,34,9,38,926,45,6,149,13,0,33,24,179
111ж~ 5ды,19,91,8,47,922,32,1,85,32,1,43,26,270
111ж~ 6ды,68,120,17,21,560,16,19,92,76,11,40,55,287
111ж~ 7ды,46,67,24,38,559,56,11,211,35,6,34,136,364
111ж~ 8ды,31,72,56,29,707,29,4,243,76,2,22,91,339
111ж~ 9ды,53,129,30,33,907,32,12,226,30,4,16,111,394
111ж~ 10ды,42,66,20,31,921,29,15,95,25,2,7,164,275
111ж~ 11ды,33,116,13,52,488,26,11,300,30,4,19,117,389
111ж~ 12ды,19,52,16,27,794,38,10,291,30,2,17,104,367
112ж~ 1ды,65,25,20,16,402,12,13,103,22,2,23,58,286
112ж~ 2ды,40,46,11,22,"1,118",19,8,96,24,5,15,42,357
112ж~ 3ды,49,87,9,34,"1,237",43,9,134,86,10,22,96,378
112ж~ 4ды,32,69,35,42,664,33,20,305,41,1,20,70,274
112ж~ 5ды,32,80,47,47,"1,352",30,12,389,36,4,16,52,329
112ж~ 6ды,28,83,22,38,874,33,17,306,40,3,12,75,370
112ж~ 7ды,19,95,24,37,851,27,14,187,29,2,67,58,463
112ж~ 8ды,28,61,13,29,891,22,5,144,75,4,60,71,338
