統計期,大重總計
107年 1月,1454
107年 2月,822
107年 3月,1596
107年 4月,1240
107年 5月,1593
107年 6月,1700
107年 7月,1419
107年 8月,1658
107年 9月,1292
107年 10月,1320
107年 11月,1076
107年 12月,1399
108年 1月,1446
108年 2月,1020
108年 3月,1429
108年 4月,1636
108年 5月,1637
108年 6月,1338
108年 7月,1625
108年 8月,1179
108年 9月,1297
108年 10月,1400
108年 11月,1320
108年 12月,1170
109年 1月,1184
109年 2月,1682
109年 3月,1717
109年 4月,2017
109年 5月,1801
109年 6月,2474
109年 7月,2471
109年 8月,1843
109年 9月,2260
109年 10月,1591
109年 11月,1587
109年 12月,1885
110年 1月,1022
110年 2月,963
110年 3月,1755
110年 4月,2564
110年 5月,2522
110年 6月,2637
110年 7月,2118
110年 8月,2206
110年 9月,2856
110年 10月,2405
110年 11月,2429
110年 12月,2179
111年 1月,1950
111年 2月,1007
111年 3月,3066
111年 4月,2017
111年 5月,2052
111年 6月,2209
111年 7月,2339
111年 8月,2551
111年 9月,2999
111年 10月,2747
111年 11月,2613
111年 12月,2351
112年 1月,1324
112年 2月,2352
112年 3月,2951
112年 4月,2076
112年 5月,3110
112年 6月,2542
112年 7月,2502
112年 8月,2450
