統計期,小客車總計
107年 1月,"43,801"
107年 2月,"24,380"
107年 3月,"34,508"
107年 4月,"30,559"
107年 5月,"31,346"
107年 6月,"33,541"
107年 7月,"38,120"
107年 8月,"22,084"
107年 9月,"26,184"
107年 10月,"30,215"
107年 11月,"31,526"
107年 12月,"37,819"
108年 1月,"39,270"
108年 2月,"16,901"
108年 3月,"27,850"
108年 4月,"29,979"
108年 5月,"33,114"
108年 6月,"33,622"
108年 7月,"42,742"
108年 8月,"20,655"
108年 9月,"28,138"
108年 10月,"35,660"
108年 11月,"35,723"
108年 12月,"40,333"
109年 1月,"35,022"
109年 2月,"22,726"
109年 3月,"31,715"
109年 4月,"26,035"
109年 5月,"28,324"
109年 6月,"36,018"
109年 7月,"38,885"
109年 8月,"30,739"
109年 9月,"31,772"
109年 10月,"34,274"
109年 11月,"40,780"
109年 12月,"40,055"
110年 1月,"44,934"
110年 2月,"23,598"
110年 3月,"37,344"
110年 4月,"32,288"
110年 5月,"28,975"
110年 6月,"23,002"
110年 7月,"32,144"
110年 8月,"28,173"
110年 9月,"34,878"
110年 10月,"29,985"
110年 11月,"34,057"
110年 12月,"33,540"
111年 1月,"36,248"
111年 2月,"20,572"
111年 3月,"33,495"
111年 4月,"29,657"
111年 5月,"25,542"
111年 6月,"27,235"
111年 7月,"31,722"
111年 8月,"29,274"
111年 9月,"29,872"
111年 10月,"30,964"
111年 11月,"33,648"
111年 12月,"36,002"
112年 1月,"30,540"
112年 2月,"28,371"
112年 3月,"38,057"
112年 4月,"33,413"
112年 5月,"37,028"
112年 6月,"37,278"
112年 7月,"37,144"
112年 8月,"30,546"
